ts,open,high,low,close,vol,ema9,ema21,long,signal
2020-01-01 00:00:00,7195.24,7196.25,7178.64,7179.78,95.509133,,,False,0
2020-01-01 00:05:00,7179.76,7191.77,7178.2,7191.07,59.365225,,,False,0
2020-01-01 00:10:00,7193.15,7193.53,7180.24,7180.97,48.06851,,,False,0
2020-01-01 00:15:00,7180.97,7186.4,7177.35,7178.29,32.192929,,,False,0
2020-01-01 00:20:00,7177.71,7182.46,7175.47,7176.96,49.027397,,,False,0
2020-01-01 00:25:00,7177.59,7185.56,7176.11,7178.45,47.022328,,,False,0
2020-01-01 00:30:00,7178.19,7185.44,7177.54,7180.68,35.10983,,,False,0
2020-01-01 00:35:00,7180.96,7182.53,7176.23,7177.53,24.863496,,,False,0
2020-01-01 00:40:00,7177.14,7182.45,7176.34,7179.56,23.514132,7180.365555555555,,False,0
2020-01-01 00:45:00,7179.35,7182.99,7179.35,7182.94,21.35885,7180.880444444444,,False,0
2020-01-01 00:50:00,7182.94,7183.98,7175.51,7179.03,42.910971,7180.510355555556,,False,0
2020-01-01 00:55:00,7178.65,7181.75,7175.46,7177.02,32.8721,7179.812284444446,,False,0
2020-01-01 01:00:00,7176.47,7185.86,7175.71,7183.29,30.163076,7180.507827555558,,False,0
2020-01-01 01:05:00,7183.55,7194.04,7182.82,7189.62,44.803327,7182.3302620444465,,False,0
2020-01-01 01:10:00,7189.63,7194.04,7188.62,7190.86,28.554119,7184.036209635558,,False,0
2020-01-01 01:15:00,7190.46,7194.27,7189.23,7194.06,24.216078,7186.040967708447,,False,0
2020-01-01 01:20:00,7193.02,7198.0,7190.79,7192.39,34.107575,7187.310774166758,,False,0
2020-01-01 01:25:00,7193.01,7217.0,7191.98,7212.1,193.219399,7192.268619333407,,False,0
2020-01-01 01:30:00,7212.1,7230.0,7211.32,7218.83,273.46807,7197.580895466726,,False,0
2020-01-01 01:35:00,7219.11,7221.95,7210.53,7216.0,60.977766,7201.264716373381,,False,0
2020-01-01 01:40:00,7216.02,7219.11,7207.17,7211.87,52.801416,7203.385773098705,7189.109523809523,True,1
2020-01-01 01:45:00,7212.34,7212.67,7205.01,7205.08,47.987055,7203.724618478964,7190.561385281384,True,0
2020-01-01 01:50:00,7205.08,7211.77,7204.28,7209.35,54.491792,7204.849694783171,7192.2694411648945,True,0
2020-01-01 01:55:00,7209.75,7216.41,7207.39,7216.27,38.26293,7207.133755826537,7194.451310149904,True,0
