total_trades,winning_trades,losing_trades,win_rate,total_profit,total_return_pct,avg_profit_per_trade,max_profit,max_loss,sharpe_ratio,strategy_name,params
16,9,7,56.25,2148.380274374816,21.483802743748164,134.273767148426,1907.683538179398,-207.33530914891188,0.29274752386524405,EMA_5_15,"{'fast_ema': 5, 'slow_ema': 15}"
7,4,3,57.14285714285714,2230.628018125513,22.306280181255115,318.66114544650185,1971.0654241779541,-89.78703793264114,0.4720655246450904,EMA_9_21_Original,"{'fast_ema': 9, 'slow_ema': 21}"
3,3,0,100.0,2385.4229933054157,23.854229933054157,795.140997768472,2320.5047727748,30.182415485773557,0.7373482073372991,EMA_12_26_MACD,"{'fast_ema': 12, 'slow_ema': 26}"
9,6,3,66.66666666666666,2171.221229892669,21.712212298926676,241.24680332140764,1966.5338640081698,-241.5563638056079,0.3954884245504315,EMA_8_21_Balanced,"{'fast_ema': 8, 'slow_ema': 21}"
3,2,1,66.66666666666666,2324.015100154132,23.240151001541307,774.6717000513773,2308.9995291330915,-15.017197694800084,0.7139550707797018,EMA_10_30_Conservative,"{'fast_ema': 10, 'slow_ema': 30}"
